Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-01-01,SBILIFE,EQ,961.6,965.0,980.0,961.6,975.75,976.4,971.17,349251,33918286825000.0,12529,143439,0.4107
2020-01-02,SBILIFE,EQ,976.4,975.7,975.7,966.0,969.75,969.35,969.21,335765,32542694110000.004,19727,211012,0.6285000000000001
2020-01-03,SBILIFE,EQ,969.35,970.0,982.8,969.0,975.1,975.1,975.03,451217,43994925600000.0,30280,274008,0.6073
2020-01-06,SBILIFE,EQ,975.1,966.1,1003.1,958.0,985.0,983.1,982.87,895840,88048991060000.0,47128,457122,0.5103
2020-01-07,SBILIFE,EQ,983.1,990.0,1003.0,980.0,984.95,984.9,990.02,570304,56461425335000.0,41261,351822,0.6169
2020-01-08,SBILIFE,EQ,984.9,978.0,992.3,975.2,986.0,987.75,984.01,368547,36265473500000.0,30370,225954,0.6131000000000001
2020-01-09,SBILIFE,EQ,987.75,996.8,998.0,979.75,989.0,988.5,988.93,614382,60757887675000.0,38413,399816,0.6508
2020-01-10,SBILIFE,EQ,988.5,989.0,997.0,983.3,987.4,989.0,989.79,351231,34764437505000.0,21548,244535,0.6962
2020-01-13,SBILIFE,EQ,989.0,993.0,997.95,980.0,989.8,989.85,988.07,332236,32827369755000.0,22764,176541,0.5314
2020-01-14,SBILIFE,EQ,989.85,993.0,994.0,984.0,989.0,987.8,988.77,369532,36538255605000.0,34353,274530,0.7429000000000001
2020-01-15,SBILIFE,EQ,987.8,988.0,1002.0,981.0,998.0,998.15,993.05,533340,52963081380000.0,26025,380132,0.7127
2020-01-16,SBILIFE,EQ,998.15,1000.0,1003.0,992.0,1000.0,999.9,998.87,465355,46482887865000.0,34429,331661,0.7127
2020-01-17,SBILIFE,EQ,999.9,999.8,1009.8,985.25,993.1,996.35,995.75,372188,37060757875000.0,25450,221837,0.596
2020-01-20,SBILIFE,EQ,996.35,1000.0,1001.0,975.5,980.0,981.5,986.71,341082,33655008150000.0,27166,236758,0.6940999999999999
2020-01-21,SBILIFE,EQ,981.5,980.0,987.0,970.2,972.75,972.75,974.27,355550,34640181000000.0,35107,234617,0.6598999999999999
2020-01-22,SBILIFE,EQ,972.75,980.0,992.6,972.0,980.0,981.7,982.82,1299987,127765934225000.0,51797,660495,0.5081
2020-01-23,SBILIFE,EQ,981.7,985.4,1004.0,980.2,986.5,985.95,990.81,1151390,114080872500000.0,36265,735138,0.6385000000000001
2020-01-24,SBILIFE,EQ,985.95,986.0,1020.0,977.0,999.5,999.8,1000.36,1388247,138874210755000.0,55074,662190,0.47700000000000004
2020-01-27,SBILIFE,EQ,999.8,999.8,1014.7,987.35,991.0,992.15,1002.88,740311,74244161250000.0,25400,393915,0.5321
2020-01-28,SBILIFE,EQ,992.15,993.0,1007.0,975.75,985.0,987.85,996.14,578382,57615088650000.0,36769,354377,0.6127
2020-01-29,SBILIFE,EQ,987.85,992.0,1012.15,988.0,1012.0,1007.8,1001.99,538017,53908768925000.0,36392,280155,0.5207
2020-01-30,SBILIFE,EQ,1007.8,1014.0,1017.0,989.3,999.75,998.25,1004.16,561770,56410458854999.99,33220,297852,0.5302
2020-01-31,SBILIFE,EQ,998.25,1005.0,1006.0,983.15,993.55,994.1,995.65,445170,44323332570000.0,25488,261179,0.5867
2020-02-01,SBILIFE,EQ,994.1,998.0,1012.9,885.0,920.6,893.1,913.85,4433306,405136025135000.0,122256,2197335,0.49560000000000004
2020-02-03,SBILIFE,EQ,893.1,895.0,921.85,856.65,910.1,912.65,896.59,4046967,362849016960000.0,116130,1997535,0.4936
2020-02-04,SBILIFE,EQ,912.65,912.0,922.9,896.0,911.9,911.6,909.35,2004591,182287652370000.0,104526,1293301,0.6452
2020-02-05,SBILIFE,EQ,911.6,913.6,915.8,898.5,911.85,910.55,906.77,1337410,121272208880000.0,87980,898894,0.6720999999999999
2020-02-06,SBILIFE,EQ,910.55,916.1,925.0,912.05,920.0,919.5,918.17,1185756,108872607070000.0,38072,788223,0.6647
2020-02-07,SBILIFE,EQ,919.5,920.0,955.45,915.55,948.3,947.3,935.97,1642253,153710147155000.0,46721,1009492,0.6147
2020-02-10,SBILIFE,EQ,947.3,952.0,956.25,938.0,953.1,952.8,946.94,734151,69519774104999.99,21372,494885,0.6741
2020-02-11,SBILIFE,EQ,952.8,960.45,960.45,935.8,939.0,939.75,943.27,584552,55139192615000.0,38074,385256,0.6591
2020-02-12,SBILIFE,EQ,939.75,944.75,948.8,925.0,936.0,932.85,933.97,925589,86446786235000.0,32478,697082,0.7531
